|StayFromWeekday|Term|HeadCount|朝食|昼からチェックインプラン|お得な観光プラン|氏名|合計金額|向き|
"TC001 Nexus 10"
|宿泊初日   |連泊数|宿泊人数|朝食 |昼からチェックインプラン|お得な観光プラン|氏名      |合計金額|向き|
|"Monday"   |"1"   |"1"     |"off"|"off"                   |"off"           |"武田晴信"|"7000"  |"縦向き"|
|"Tuesday"  |"2"   |"9"     |"off"|"off"                   |"off"           |"山本寛太"|"126000"|"横向き"|
|"Wednesday"|"1"   |"1"     |"off"|"on"                    |"on"            |"真田昌虎"|"9000"|"横向き"|
|"Thursday" |"3"   |"2"     |"on" |"off"                   |"off"           |"武田信子"|"51500"|"横向き"|
|"Friday"   |"5"   |"8"     |"on" |"off"                   |"on"            |"上杉景虎"|"356000"|"縦向き"|
|"Saturday" |"3"   |"9"     |"on" |"off"                   |"off"           |"柿崎家時"|"247500"|"縦向き"|
|"Sunday"   |"9"   |"8"     |"on" |"on"                    |"on"            |"直江愛子"|"634000"|"横向き"|
"TC002 Nexus 4"
|宿泊初日   |連泊数|宿泊人数|朝食 |昼からチェックインプラン|お得な観光プラン|氏名      |合計金額|向き|
|"Monday"   |"2"   |"1"     |"off"|"off"                   |"off"           |"武田晴信"|"14000"|"縦向き"|
|"Tuesday"  |"3"   |"8"     |"on" |"on"                    |"off"           |"山本寛太"|"200000"|"縦向き"|
|"Wednesday"|"9"   |"9"     |"on" |"on"                    |"off"           |"真田昌虎"|"688500"|"縦向き"|
|"Thursday" |"1"   |"9"     |"off"|"on"                    |"on"            |"武田信子"|"81000"|"縦向き"|
|"Friday"   |"5"   |"1"     |"off"|"on"                    |"off"           |"上杉景虎"|"39500"|"縦向き"|
|"Saturday" |"2"   |"1"     |"off"|"off"                   |"on"            |"柿崎家時"|"18500"|"縦向き"|
|"Sunday"   |"5"   |"2"     |"off"|"on"                    |"off"           |"直江愛子"|"75500"|"縦向き"|
"TC003 Nexus 6"
|宿泊初日   |連泊数|宿泊人数|朝食 |昼からチェックインプラン|お得な観光プラン|氏名      |合計金額|向き|
|"Monday"   |"3"   |"8"     |"on" |"off"                   |"on"            |"武田晴信"|"200000"|"縦向き"|
|"Tuesday"  |"5"   |"1"     |"off"|"off"                   |"off"           |"山本寛太"|"36750"|"縦向き"|
|"Wednesday"|"1"   |"2"     |"on" |"on"                    |"off"           |"真田昌虎"|"18000"|"縦向き"|
|"Thursday" |"5"   |"1"     |"off"|"on"                    |"on"            |"武田信子"|"40500"|"縦向き"|
|"Friday"   |"2"   |"9"     |"on" |"off"                   |"off"           |"上杉景虎"|"159750"|"縦向き"|
|"Saturday" |"9"   |"2"     |"on" |"off"                   |"off"           |"柿崎家時"|"158000"|"縦向き"|
|"Sunday"   |"9"   |"8"     |"on" |"on"                    |"on"            |"直江愛子"|"634000"|"縦向き"|
"TC004 Nexus 9"
|宿泊初日   |連泊数|宿泊人数|朝食 |昼からチェックインプラン|お得な観光プラン|氏名      |合計金額|向き|
|"Monday"   |"2"   |"2"     |"on" |"on"                    |"on"            |"武田晴信"|"36000"|"横向き"|
|"Tuesday"  |"3"   |"1"     |"on" |"on"                    |"on"            |"山本寛太"|"26000"|"縦向き"|
|"Wednesday"|"5"   |"1"     |"on" |"on"                    |"off"           |"真田昌虎"|"44500"|"縦向き"|
|"Thursday" |"9"   |"9"     |"off"|"on"                    |"off"           |"武田信子"|"607500"|"横向き"|
|"Friday"   |"3"   |"9"     |"on" |"on"                    |"on"            |"上杉景虎"|"265500"|"横向き"|
|"Saturday" |"1"   |"8"     |"off"|"on"                    |"off"           |"柿崎家時"|"78000"|"横向き"|
|"Sunday"   |"2"   |"8"     |"off"|"off"                   |"off"           |"直江愛子"|"126000"|"縦向き"|
"TC005 Pixel 3 XL"
|宿泊初日   |連泊数|宿泊人数|朝食 |昼からチェックインプラン|お得な観光プラン|氏名      |合計金額|向き|
|"Monday"   |"5"   |"8"     |"on" |"off"                   |"off"           |"武田晴信"|"320000"|"縦向き"|
|"Tuesday"  |"1"   |"9"     |"on" |"on"                    |"on"            |"山本寛太"|"90000"|"縦向き"|
|"Wednesday"|"2"   |"9"     |"off"|"on"                    |"on"            |"真田昌虎"|"144000"|"縦向き"|
|"Thursday" |"2"   |"1"     |"off"|"on"                    |"on"            |"武田信子"|"16000"|"縦向き"|
|"Friday"   |"9"   |"2"     |"off"|"off"                   |"off"           |"上杉景虎"|"136500"|"縦向き"|
|"Saturday" |"9"   |"2"     |"on" |"off"                   |"on"            |"柿崎家時"|"160000"|"縦向き"|
|"Sunday"   |"3"   |"1"     |"on" |"on"                    |"on"            |"直江愛子"|"27750"|"縦向き"|
"TC006 Pixel 4 XL"
|宿泊初日   |連泊数|宿泊人数|朝食 |昼からチェックインプラン|お得な観光プラン|氏名      |合計金額|向き|
|"Monday"   |"3"   |"8"     |"off"|"off"                   |"off"           |"武田晴信"|"168000"|"縦向き"|
|"Tuesday"  |"9"   |"1"     |"off"|"on"                    |"on"            |"山本寛太"|"68500"|"縦向き"|
|"Wednesday"|"2"   |"8"     |"on" |"off"                   |"off"           |"真田昌虎"|"128000"|"縦向き"|
|"Thursday" |"3"   |"9"     |"off"|"off"                   |"on"            |"武田信子"|"213750"|"縦向き"|
|"Friday"   |"5"   |"1"     |"off"|"off"                   |"off"           |"上杉景虎"|"38500"|"縦向き"|
|"Saturday" |"5"   |"9"     |"on" |"off"                   |"off"           |"柿崎家時"|"391500"|"縦向き"|
|"Sunday"   |"1"   |"2"     |"off"|"on"                    |"off"           |"直江愛子"|"19500"|"縦向き"|
